# 2026-08-02T20:10:34-04:00 A100 measured T(N)  AMORTCSV,file,variant,N,total_ms
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/C2c_18_4.txt,diaq_fp32,100,2357.857
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/C2c_18_4.txt,diaq_fp32,1000,15116.024
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/C2c_18_4.txt,diaq_fp32,10000,142687.499
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_16_5.txt,didx,1,4.063
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_16_5.txt,didx,10,4.001
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_16_5.txt,didx,100,4.571
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_16_5.txt,didx,1000,10.051
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_16_5.txt,didx,10000,65.014
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_16_5.txt,didx_sym,1,2.743
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_16_5.txt,didx_sym,10,2.761
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_16_5.txt,didx_sym,100,3.312
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_16_5.txt,didx_sym,1000,8.835
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_16_5.txt,didx_sym,10000,64.062
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_16_5.txt,cusparse,1,15.219
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_16_5.txt,cusparse,10,10.538
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_16_5.txt,cusparse,100,11.987
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_16_5.txt,cusparse,1000,30.174
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_16_5.txt,cusparse,10000,213.017
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_16_5.txt,diaq_fp32,1,0.712
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_16_5.txt,diaq_fp32,10,1.046
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_16_5.txt,diaq_fp32,100,2.305
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_16_5.txt,diaq_fp32,1000,15.003
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_16_5.txt,diaq_fp32,10000,142.157
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_18_5.txt,didx,1,18.652
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_18_5.txt,didx,10,18.836
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_18_5.txt,didx,100,19.742
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_18_5.txt,didx,1000,30.662
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_18_5.txt,didx,10000,137.639
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_18_5.txt,didx_sym,1,12.303
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_18_5.txt,didx_sym,10,12.640
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_18_5.txt,didx_sym,100,13.472
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_18_5.txt,didx_sym,1000,23.879
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_18_5.txt,didx_sym,10000,129.210
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_18_5.txt,cusparse,1,46.221
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_18_5.txt,cusparse,10,43.072
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_18_5.txt,cusparse,100,46.171
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_18_5.txt,cusparse,1000,77.614
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_18_5.txt,cusparse,10000,393.199
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_18_5.txt,diaq_fp32,1,3.208
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_18_5.txt,diaq_fp32,10,5.093
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_18_5.txt,diaq_fp32,100,10.970
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_18_5.txt,diaq_fp32,1000,69.791
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_18_5.txt,diaq_fp32,10000,658.376
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_20_5.txt,didx,1,122.137
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_20_5.txt,didx,10,123.297
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_20_5.txt,didx,100,128.248
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_20_5.txt,didx,1000,178.742
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_20_5.txt,didx,10000,685.776
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_20_5.txt,didx_sym,1,55.770
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_20_5.txt,didx_sym,10,55.850
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_20_5.txt,didx_sym,100,61.029
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_20_5.txt,didx_sym,1000,108.165
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_20_5.txt,didx_sym,10000,591.036
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_20_5.txt,cusparse,1,189.893
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_20_5.txt,cusparse,10,186.783
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_20_5.txt,cusparse,100,194.557
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_20_5.txt,cusparse,1000,273.117
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_20_5.txt,cusparse,10000,1058.836
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_20_5.txt,diaq_fp32,1,12.645
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_20_5.txt,diaq_fp32,10,20.078
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_20_5.txt,diaq_fp32,100,40.735
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_20_5.txt,diaq_fp32,1000,246.701
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermi_20_5.txt,diaq_fp32,10000,2310.900
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermiFH_18_4.txt,didx,1,31.525
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermiFH_18_4.txt,didx,10,31.458
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermiFH_18_4.txt,didx,100,32.632
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermiFH_18_4.txt,didx,1000,42.882
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermiFH_18_4.txt,didx,10000,147.671
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermiFH_18_4.txt,didx_sym,1,22.990
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermiFH_18_4.txt,didx_sym,10,21.368
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermiFH_18_4.txt,didx_sym,100,22.395
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermiFH_18_4.txt,didx_sym,1000,33.020
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermiFH_18_4.txt,didx_sym,10000,137.419
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermiFH_18_4.txt,cusparse,1,56.847
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermiFH_18_4.txt,cusparse,10,53.731
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermiFH_18_4.txt,cusparse,100,56.901
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermiFH_18_4.txt,cusparse,1000,88.124
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermiFH_18_4.txt,cusparse,10000,400.603
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermiFH_18_4.txt,diaq_fp32,1,5.164
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/fermiFH_18_4.txt,diaq_fp32,10,9.199
