matrix,kernel,metric,value
fermi_16_5,cuda_spmv_dia,smsp__sass_data_bytes_mem_shared_op_ld.sum.per_second,0
fermi_16_5,cuda_spmv_dia,smsp__sass_data_bytes_mem_shared_op_st.sum,0
fermi_16_5,cuda_spmv_dia,smsp__sass_data_bytes_mem_shared_op_st.sum.per_second,0
qmaxcut_16_4,hm_structured_sparse_matmul_kernel,dram__bytes_read.sum,65098496
qmaxcut_16_4,hm_structured_sparse_matmul_kernel,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,0
qmaxcut_16_4,hm_structured_sparse_matmul_kernel,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,0
qmaxcut_16_4,hm_structured_sparse_matmul_kernel,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,0.21
qmaxcut_16_4,hm_structured_sparse_matmul_kernel,l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum,231386496
qmaxcut_16_4,hm_structured_sparse_matmul_kernel,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum,596664
qmaxcut_16_4,hm_structured_sparse_matmul_kernel,l1tex__t_sector_hit_rate.pct,47.40
qmaxcut_16_4,hm_structured_sparse_matmul_kernel,launch__shared_mem_per_block_dynamic,0
qmaxcut_16_4,hm_structured_sparse_matmul_kernel,launch__shared_mem_per_block_static,0
qmaxcut_16_4,hm_structured_sparse_matmul_kernel,lts__t_sector_hit_rate.pct,75.43
qmaxcut_16_4,hm_structured_sparse_matmul_kernel,smsp__sass_data_bytes_mem_shared_op_ld.sum,0
qmaxcut_16_4,hm_structured_sparse_matmul_kernel,smsp__sass_data_bytes_mem_shared_op_ld.sum.per_second,0
qmaxcut_16_4,hm_structured_sparse_matmul_kernel,smsp__sass_data_bytes_mem_shared_op_st.sum,0
qmaxcut_16_4,hm_structured_sparse_matmul_kernel,smsp__sass_data_bytes_mem_shared_op_st.sum.per_second,0
qmaxcut_16_4,void gather_meta_kernel,dram__bytes_read.sum,5210368
qmaxcut_16_4,void gather_meta_kernel,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,39033
qmaxcut_16_4,void gather_meta_kernel,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,339
qmaxcut_16_4,void gather_meta_kernel,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,26.20
qmaxcut_16_4,void gather_meta_kernel,l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum,237237888
qmaxcut_16_4,void gather_meta_kernel,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum,0
qmaxcut_16_4,void gather_meta_kernel,l1tex__t_sector_hit_rate.pct,42.64
qmaxcut_16_4,void gather_meta_kernel,launch__shared_mem_per_block_dynamic,0
qmaxcut_16_4,void gather_meta_kernel,launch__shared_mem_per_block_static,8196
qmaxcut_16_4,void gather_meta_kernel,lts__t_sector_hit_rate.pct,96.54
qmaxcut_16_4,void gather_meta_kernel,smsp__sass_data_bytes_mem_shared_op_ld.sum,31344464
qmaxcut_16_4,void gather_meta_kernel,smsp__sass_data_bytes_mem_shared_op_ld.sum.per_second,326940754339.12
qmaxcut_16_4,void gather_meta_kernel,smsp__sass_data_bytes_mem_shared_op_st.sum,2091264
qmaxcut_16_4,void gather_meta_kernel,smsp__sass_data_bytes_mem_shared_op_st.sum.per_second,21813084112.15
qmaxcut_16_4,void gather_flat_kernel,dram__bytes_read.sum,5377280
qmaxcut_16_4,void gather_flat_kernel,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,77685
qmaxcut_16_4,void gather_flat_kernel,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,438
qmaxcut_16_4,void gather_flat_kernel,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,19.70
qmaxcut_16_4,void gather_flat_kernel,l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum,281855104
qmaxcut_16_4,void gather_flat_kernel,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum,0
qmaxcut_16_4,void gather_flat_kernel,l1tex__t_sector_hit_rate.pct,43.85
qmaxcut_16_4,void gather_flat_kernel,launch__shared_mem_per_block_dynamic,0
qmaxcut_16_4,void gather_flat_kernel,launch__shared_mem_per_block_static,8192
qmaxcut_16_4,void gather_flat_kernel,lts__t_sector_hit_rate.pct,96.65
qmaxcut_16_4,void gather_flat_kernel,smsp__sass_data_bytes_mem_shared_op_ld.sum,30727656
qmaxcut_16_4,void gather_flat_kernel,smsp__sass_data_bytes_mem_shared_op_ld.sum.per_second,229777279253.41
qmaxcut_16_4,void gather_flat_kernel,smsp__sass_data_bytes_mem_shared_op_st.sum,4023040
qmaxcut_16_4,void gather_flat_kernel,smsp__sass_data_bytes_mem_shared_op_st.sum.per_second,30083752093.80
qmaxcut_16_4,void gather_flat_sym_kernel,dram__bytes_read.sum,2461440
qmaxcut_16_4,void gather_flat_sym_kernel,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum,18313
qmaxcut_16_4,void gather_flat_sym_kernel,l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum,66
qmaxcut_16_4,void gather_flat_sym_kernel,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,29.75
qmaxcut_16_4,void gather_flat_sym_kernel,l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum,112800640
qmaxcut_16_4,void gather_flat_sym_kernel,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum,0
qmaxcut_16_4,void gather_flat_sym_kernel,l1tex__t_sector_hit_rate.pct,37.45
qmaxcut_16_4,void gather_flat_sym_kernel,launch__shared_mem_per_block_dynamic,0
qmaxcut_16_4,void gather_flat_sym_kernel,launch__shared_mem_per_block_static,8192
qmaxcut_16_4,void gather_flat_sym_kernel,lts__t_sector_hit_rate.pct,96.10
